Id,Label,Depth
68259,68259,3
48255,48255,3
42864,42864,3
3289,3289,3
56591,56591,3
46273,46273,2
70554,70554,3
38671,38671,3
73889,73889,3
21345,21345,3
49765,49765,3
77138,77138,3
21151,21151,2
65289,65289,3
17077,17077,3
54793,54793,3
86795,86795,3
93244,93244,3
80013,80013,3
3136,3136,2
26656,26656,3
76438,76438,3
89538,89538,3
71715,71715,3
26067,26067,3
52986,52986,3
88064,88064,2
84809,84809,3
81281,81281,3
93491,93491,3
34962,34962,3
39667,39667,3
64573,64573,3
27950,27950,2
43567,43567,3
8543,8543,3
3676,3676,3
90740,90740,3
97391,97391,3
5681,5681,3
75505,75505,2
22649,22649,3
95715,95715,3
41842,41842,3
4310,4310,3
88178,88178,3
5612,5612,3
90872,90872,3
14607,14607,3
94778,94778,4
13735,13735,4
60204,60204,4
72373,72373,1
63056,63056,2
73931,73931,3
75788,75788,3
18089,18089,3
67738,67738,3
26513,26513,3
14697,14697,3
20554,20554,2
61907,61907,3
54364,54364,3
22469,22469,3
69499,69499,3
18869,18869,3
73240,73240,3
13637,13637,2
5528,5528,3
63733,63733,3
20438,20438,3
68794,68794,3
81925,81925,3
35892,35892,3
78324,78324,2
49149,49149,3
96882,96882,3
33529,33529,3
56803,56803,3
97135,97135,3
69048,69048,3
49497,49497,2
19329,19329,3
46399,46399,3
22092,22092,3
44095,44095,3
95492,95492,3
17328,17328,3
42442,42442,2
91485,91485,3
96179,96179,3
51231,51231,3
49563,49563,3
54388,54388,3
87990,87990,3
3503,3503,2
26314,26314,3
70764,70764,3
53946,53946,3
63538,63538,3
84523,84523,3
54487,54487,3
94488,94488,2
30896,30896,3
42698,42698,3
61093,61093,3
19867,19867,3
22366,22366,3
94751,94751,3
76182,76182,3
12098,12098,3
2787,2787,4
62965,62965,4
60151,60151,4
39757,39757,1
4280,4280,2
51581,51581,3
61235,61235,3
76827,76827,3
9851,9851,3
91611,91611,3
90874,90874,3
87077,87077,2
26984,26984,3
96504,96504,3
68654,68654,3
91251,91251,3
87821,87821,3
80319,80319,3
9755,9755,2
39790,39790,3
54915,54915,3
36610,36610,3
33716,33716,3
8754,8754,3
81174,81174,3
4146,4146,2
98271,98271,3
67909,67909,3
64207,64207,3
45758,45758,3
7872,7872,3
75445,75445,3
34937,34937,2
