X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
977751.63000107,171598.23000336,81.56999969,53.000000,19.000000,1.000000,3.000000,2.000000,60070.007913,1023.000000
977762.52000046,171605.43000031,82.44000244,83.000000,-27.000000,1.000000,4.000000,2.000000,71136.383890,1019.000000
977762.27000046,171604.79000092,86.30000305,83.000000,-27.000000,1.000000,4.000000,2.000000,71136.383890,1087.000000
977762.36999893,171602.40000153,78.62999725,14.000000,5.000000,1.000000,5.000000,3.000000,64317.929788,1241.000000
977755.72999954,171596.84999847,83.48999786,41.000000,20.000000,1.000000,3.000000,2.000000,61359.918070,1040.000000
977751.88999939,171602.69000244,81.58000183,78.000000,-24.000000,1.000000,5.000000,4.000000,71725.476663,387.000000
977757.63000107,171597.76999664,84.05000305,80.000000,-11.000000,1.000000,4.000000,4.000000,71493.429788,801.000000
977751.38999939,171604.09999847,81.12999725,40.000000,-5.000000,1.000000,3.000000,2.000000,61442.860453,1734.000000
977751.79000092,171602.54000092,82.69000244,78.000000,-24.000000,1.000000,5.000000,3.000000,71725.476663,708.000000
977756.36999893,171605.15000153,89.62999725,39.000000,-6.000000,1.000000,2.000000,1.000000,61558.202249,1573.000000
977756.31999969,171593.06999969,82.73000336,38.000000,21.000000,1.000000,1.000000,1.000000,61645.213968,249.000000
977759.45000076,171601.16000366,90.09999847,38.000000,20.000000,1.000000,2.000000,2.000000,61645.266703,1268.000000
977751.79999924,171604.90000153,89.80999756,40.000000,-5.000000,1.000000,3.000000,2.000000,61442.860453,301.000000
977755.29999924,171604.50000000,90.41999817,40.000000,-5.000000,1.000000,2.000000,2.000000,61442.905374,1442.000000
977756.09000015,171594.65000153,83.31999969,38.000000,21.000000,1.000000,4.000000,3.000000,61645.213968,367.000000
977754.47999954,171599.12999725,82.04000092,12.000000,29.000000,1.000000,2.000000,1.000000,64531.687601,1418.000000
977754.75000000,171596.12999725,83.80000305,38.000000,21.000000,1.000000,4.000000,3.000000,61645.199320,647.000000
977754.49000168,171598.05000305,85.55000305,38.000000,20.000000,1.000000,3.000000,2.000000,61645.199320,1295.000000
977756.70999908,171599.00000000,84.36000061,54.000000,-6.000000,1.000000,1.000000,1.000000,59974.555765,45.000000
