X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
978020.59000015,171158.75999451,89.65000153,83.000000,-15.000000,1.000000,1.000000,1.000000,71141.469876,1998.000000
978020.60000038,171158.77999878,91.48999786,83.000000,-16.000000,1.000000,1.000000,1.000000,71141.469876,1988.000000
978024.51000023,171157.61999512,94.51000214,43.000000,24.000000,1.000000,1.000000,1.000000,61165.985745,2008.000000
978024.62000084,171157.55999756,90.31999969,43.000000,24.000000,1.000000,1.000000,1.000000,61165.985745,2097.000000
978024.67000008,171157.58000183,88.80000305,43.000000,24.000000,1.000000,1.000000,1.000000,61165.985745,1970.000000
978024.75000000,171157.55000305,85.93000031,43.000000,24.000000,1.000000,1.000000,1.000000,61165.985745,2028.000000
978015.78999996,171160.36000061,89.27999878,42.000000,-10.000000,1.000000,1.000000,1.000000,61264.646145,2078.000000
978024.68000031,171157.49000549,84.43000031,43.000000,24.000000,1.000000,1.000000,1.000000,61165.993313,2138.000000
978017.70999908,171159.80000305,93.11000061,56.000000,7.000000,1.000000,2.000000,2.000000,59696.671048,1550.000000
978022.04000092,171158.38999939,94.06999969,43.000000,24.000000,1.000000,1.000000,1.000000,61166.023099,1998.000000
978020.26000023,171158.99000549,87.33999634,43.000000,24.000000,1.000000,1.000000,1.000000,61166.053372,1998.000000
978018.77000046,171159.38999939,87.05999756,43.000000,24.000000,1.000000,1.000000,1.000000,61166.068265,2018.000000
978018.00000000,171159.64999390,94.72000122,43.000000,24.000000,1.000000,1.000000,1.000000,61166.075833,2008.000000
978024.38999939,171157.50999451,87.38999939,17.000000,12.000000,1.000000,1.000000,1.000000,63980.748440,1889.000000
978016.77000046,171160.22999573,94.33000183,54.000000,-20.000000,1.000000,1.000000,1.000000,59979.155911,1806.000000
978021.44000053,171158.64999390,86.23999786,17.000000,12.000000,1.000000,1.000000,1.000000,63980.763577,1907.000000
978008.68000031,171167.36999512,89.20999908,17.000000,13.000000,1.000000,1.000000,1.000000,63980.770901,1998.000000
978010.15999985,171162.30999756,84.65000153,16.000000,1.000000,1.000000,2.000000,1.000000,64077.044095,1023.000000
978008.26000023,171167.42999268,94.95999908,17.000000,13.000000,1.000000,1.000000,1.000000,63980.770901,2047.000000
978001.71000004,171169.13999939,90.16999817,54.000000,-19.000000,1.000000,2.000000,1.000000,59979.066067,777.000000
978003.71000004,171168.97000122,94.45999908,43.000000,24.000000,1.000000,1.000000,1.000000,61166.255765,2028.000000
978003.78999996,171168.94999695,91.63999939,43.000000,24.000000,1.000000,1.000000,1.000000,61166.255765,2008.000000
