Id,Label,Depth
39610,39610,3
74978,74978,3
37313,37313,3
55230,55230,3
34335,34335,3
13282,13282,3
61247,61247,2
81779,81779,3
7114,7114,3
83800,83800,3
20333,20333,3
76332,76332,3
95654,95654,3
11877,11877,3
85601,85601,3
48559,48559,4
85805,85805,4
65937,65937,1
27991,27991,2
9472,9472,3
58207,58207,3
62430,62430,3
15165,15165,3
43434,43434,3
59783,59783,3
11649,11649,3
43871,43871,3
25423,25423,2
32401,32401,3
2712,2712,3
56929,56929,3
49850,49850,3
13014,13014,3
6539,6539,3
34356,34356,3
58326,58326,3
17029,17029,2
84766,84766,3
89479,89479,3
56001,56001,3
56862,56862,3
64688,64688,3
62648,62648,3
95874,95874,3
80390,80390,3
54089,54089,2
58271,58271,3
70589,70589,3
17981,17981,3
37691,37691,3
2165,2165,3
38505,38505,3
52634,52634,3
82911,82911,3
54497,54497,2
12762,12762,3
33284,33284,3
19759,19759,3
14872,14872,3
90120,90120,3
82413,82413,3
27045,27045,3
64489,64489,3
37949,37949,2
59936,59936,3
25683,25683,3
50902,50902,3
63797,63797,3
7066,7066,3
44338,44338,3
61262,61262,3
12688,12688,3
1686,1686,2
44307,44307,3
48578,48578,3
75923,75923,3
63177,63177,3
65871,65871,3
43042,43042,3
75802,75802,3
58294,58294,3
3780,3780,2
31933,31933,3
54120,54120,3
48907,48907,3
18379,18379,3
86940,86940,3
59123,59123,3
79231,79231,3
54305,54305,3
62272,62272,4
43974,43974,4
37673,37673,1
40204,40204,2
19285,19285,3
89731,89731,3
27379,27379,3
15302,15302,3
3144,3144,3
56933,56933,3
26904,26904,3
7143,7143,3
32479,32479,2
55047,55047,3
78286,78286,3
38192,38192,3
60264,60264,3
41560,41560,3
35558,35558,3
43196,43196,3
42123,42123,3
11317,11317,2
49610,49610,3
89211,89211,3
69144,69144,3
39653,39653,3
41280,41280,3
47222,47222,3
3163,3163,3
14753,14753,3
80024,80024,2
48734,48734,3
99816,99816,3
16829,16829,3
6516,6516,3
61304,61304,3
44241,44241,3
4487,4487,3
53847,53847,3
39939,39939,2
17426,17426,3
50003,50003,3
15244,15244,3
82708,82708,3
63365,63365,3
81938,81938,3
14685,14685,3
5401,5401,3
65455,65455,2
25802,25802,3
23174,23174,3
42013,42013,3
26076,26076,3
89024,89024,3
14869,14869,3
57452,57452,3
89595,89595,3
36402,36402,2
16363,16363,3
49197,49197,3
9901,9901,3
55892,55892,3
65199,65199,3
80882,80882,3
61426,61426,3
32032,32032,3
7844,7844,2
47550,47550,3
10627,10627,3
43114,43114,3
77046,77046,3
40290,40290,3
4984,4984,3
95506,95506,3
55485,55485,3
81067,81067,4
72385,72385,4
20850,20850,1
14936,14936,2
16072,16072,3
2409,2409,3
99423,99423,3
18197,18197,3
18114,18114,3
28811,28811,3
70400,70400,3
57895,57895,3
42558,42558,2
11315,11315,3
82460,82460,3
2032,2032,3
25980,25980,3
57347,57347,3
20422,20422,3
56087,56087,3
12200,12200,3
39159,39159,2
6693,6693,3
6541,6541,3
70864,70864,3
4251,4251,3
54711,54711,3
66220,66220,3
39754,39754,3
81145,81145,3
3115,3115,2
78104,78104,3
6643,6643,3
24805,24805,3
80788,80788,3
99366,99366,3
60754,60754,3
95376,95376,3
11618,11618,3
78642,78642,2
92377,92377,3
15451,15451,3
17159,17159,3
59453,59453,3
99914,99914,3
73255,73255,3
16825,16825,3
89571,89571,3
13191,13191,2
42670,42670,3
59253,59253,3
99837,99837,3
45421,45421,3
51717,51717,3
18900,18900,3
12933,12933,3
77163,77163,3
52062,52062,2
39128,39128,3
93565,93565,3
37891,37891,3
41714,41714,3
76434,76434,3
43942,43942,3
66017,66017,3
55647,55647,3
28049,28049,2
67772,67772,3
70992,70992,3
86297,86297,3
73187,73187,3
18261,18261,3
47882,47882,3
53163,53163,3
30804,30804,3
68773,68773,4
904,904,4
58193,58193,4
38190,38190,4
72057,72057,4
