X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
978024.56999969,171187.86000061,118.66999817,17.000000,13.000000,1.000000,1.000000,1.000000,63980.425931,1667.000000
978018.53000069,171187.27000427,114.66999817,58.000000,-19.000000,1.000000,1.000000,1.000000,59429.441556,1589.000000
978032.90999985,171231.53999329,114.93000031,40.000000,15.000000,1.000000,1.000000,1.000000,61445.994290,1573.000000
978046.18000031,171203.44000244,116.51000214,58.000000,-18.000000,1.000000,1.000000,1.000000,59429.643704,1554.000000
978058.41999817,171179.35000610,104.29000092,58.000000,-17.000000,1.000000,2.000000,2.000000,59429.260892,2128.000000
978044.25999832,171217.16999817,120.95999908,42.000000,-13.000000,1.000000,1.000000,1.000000,61264.893948,1659.000000
978016.96999931,171173.97000122,116.54000092,16.000000,1.000000,1.000000,1.000000,1.000000,64077.216946,1484.000000
978009.78999996,171208.38000488,104.48999786,58.000000,-20.000000,1.000000,1.000000,1.000000,59429.771634,2128.000000
978031.55999947,171197.30000305,121.54000092,43.000000,27.000000,1.000000,1.000000,1.000000,61166.037991,1547.000000
978050.08000183,171155.97000122,107.68000031,15.000000,-16.000000,1.000000,2.000000,1.000000,64223.415188,1346.000000
978044.91999817,171231.13999939,123.36000061,57.000000,5.000000,1.000000,1.000000,1.000000,59594.825833,1418.000000
978013.05000019,171223.30999756,104.06999969,82.000000,6.000000,1.000000,1.000000,1.000000,71255.462063,2265.000000
978022.67000008,171215.42999268,111.56999969,18.000000,-25.000000,1.000000,1.000000,1.000000,63836.858059,1533.000000
978046.61999893,171209.71000671,117.51000214,16.000000,2.000000,1.000000,1.000000,1.000000,64077.914700,1651.000000
978031.30999947,171199.25999451,121.01000214,83.000000,-18.000000,1.000000,1.000000,1.000000,71141.380032,1597.000000
978012.44999981,171175.02999878,113.29000092,57.000000,7.000000,1.000000,1.000000,1.000000,59595.403470,1623.000000
978023.12999916,171163.44999695,107.68000031,43.000000,24.000000,1.000000,1.000000,1.000000,61166.023099,1932.000000
978032.63999939,171190.38999939,123.06999969,43.000000,26.000000,1.000000,1.000000,1.000000,61166.000638,1560.000000
978015.85000038,171170.75000000,116.65000153,43.000000,25.000000,1.000000,1.000000,1.000000,61166.128079,1510.000000
978040.56999969,171195.07000732,118.62999725,17.000000,13.000000,1.000000,1.000000,1.000000,63980.253323,1674.000000
978009.60000038,171185.08999634,109.09999847,18.000000,-25.000000,1.000000,1.000000,1.000000,63836.377835,1496.000000
978047.61000061,171231.02999878,121.55999756,18.000000,-25.000000,1.000000,1.000000,1.000000,63837.173001,1627.000000
978043.15000153,171212.16999817,120.48000336,17.000000,13.000000,1.000000,1.000000,1.000000,63980.073392,1643.000000
978023.95999908,171214.58999634,112.62999725,82.000000,6.000000,1.000000,1.000000,1.000000,71255.319485,1615.000000
978044.91999817,171184.22000122,113.41000366,80.000000,-22.000000,1.000000,1.000000,1.000000,71488.501126,1456.000000
978036.13000107,171204.33000183,123.18000031,15.000000,-14.000000,1.000000,1.000000,1.000000,64223.085110,1585.000000
978028.81999969,171229.50999451,112.75000000,54.000000,-21.000000,1.000000,1.000000,1.000000,59978.233548,1646.000000
978018.28000069,171221.36000061,107.33999634,41.000000,0.000000,1.000000,1.000000,1.000000,61355.545559,1652.000000
978016.45000076,171230.75999451,104.08999634,41.000000,0.000000,1.000000,1.000000,1.000000,61355.590481,2097.000000
978006.28999996,171165.39999390,82.58000183,56.000000,6.000000,1.000000,2.000000,1.000000,59696.753567,969.000000
978055.91999817,171165.83999634,106.29000092,40.000000,18.000000,1.000000,1.000000,1.000000,61446.279202,1833.000000
978041.40999985,171169.77999878,112.66999817,54.000000,-21.000000,1.000000,1.000000,1.000000,59978.976224,1484.000000
978020.04999924,171188.53999329,115.33000183,42.000000,-12.000000,1.000000,1.000000,1.000000,61264.653714,1677.000000
