Id,Label,Depth
79897,79897,4
44268,44268,4
20757,20757,4
61255,61255,4
35183,35183,4
8982,8982,4
83355,83355,2
6288,6288,3
3820,3820,3
75646,75646,3
89967,89967,3
51330,51330,3
63095,63095,3
47733,47733,3
64117,64117,3
24483,24483,4
40098,40098,4
38784,38784,4
8456,8456,4
70700,70700,4
99887,99887,4
34084,34084,2
89898,89898,3
85,85,3
49393,49393,3
76993,76993,3
62403,62403,3
66024,66024,3
76142,76142,3
4488,4488,3
64064,64064,4
82761,82761,4
98880,98880,4
14552,14552,4
95879,95879,4
16478,16478,4
28035,28035,1
30244,30244,2
26906,26906,3
26292,26292,3
23708,23708,3
72439,72439,3
1589,1589,3
21796,21796,3
98281,98281,3
50326,50326,3
27730,27730,4
24126,24126,4
98201,98201,4
11253,11253,4
53469,53469,4
2839,2839,4
68019,68019,2
62623,62623,3
99142,99142,3
88553,88553,3
11481,11481,3
45350,45350,3
95837,95837,3
69028,69028,3
55061,55061,3
34270,34270,4
27952,27952,4
8517,8517,4
98975,98975,4
518,518,4
77495,77495,4
5188,5188,2
81173,81173,3
35091,35091,3
95171,95171,3
46187,46187,3
26387,26387,3
74533,74533,3
71067,71067,3
20113,20113,3
95619,95619,4
96052,96052,4
45375,45375,4
31094,31094,4
85632,85632,4
41803,41803,4
26916,26916,2
80044,80044,3
70175,70175,3
97801,97801,3
53375,53375,3
47357,47357,3
48606,48606,3
46309,46309,3
65861,65861,3
92709,92709,4
18798,18798,4
25179,25179,4
18308,18308,4
1682,1682,4
72173,72173,4
57032,57032,2
91655,91655,3
10116,10116,3
22066,22066,3
43395,43395,3
13160,13160,3
56840,56840,3
98167,98167,3
70075,70075,3
71578,71578,4
52810,52810,4
24846,24846,4
53108,53108,4
42494,42494,4
86998,86998,4
56108,56108,2
64492,64492,3
14138,14138,3
35410,35410,3
47767,47767,3
20657,20657,3
32017,32017,3
69062,69062,3
4128,4128,3
31348,31348,4
21558,21558,4
28829,28829,4
46151,46151,4
98039,98039,4
95582,95582,4
21862,21862,2
19655,19655,3
20578,20578,3
96852,96852,3
40063,40063,3
79688,79688,3
42556,42556,3
58990,58990,3
12609,12609,3
55483,55483,4
43768,43768,4
57348,57348,4
43691,43691,4
22834,22834,4
3218,3218,4
5428,5428,2
73164,73164,3
93726,93726,3
37103,37103,3
89765,89765,3
1801,1801,3
91494,91494,3
53781,53781,3
94175,94175,3
1466,1466,4
81987,81987,4
21341,21341,4
38708,38708,4
10003,10003,4
34146,34146,4
60404,60404,1
