Id,Label,Depth
30488,30488,3
79791,79791,3
79945,79945,3
31816,31816,3
58938,58938,3
20757,20757,3
49547,49547,3
80869,80869,2
89775,89775,3
46766,46766,3
76172,76172,3
54334,54334,3
5536,5536,3
57784,57784,3
46719,46719,3
7789,7789,3
17437,17437,2
87936,87936,3
99509,99509,3
53108,53108,3
8221,8221,3
66805,66805,3
77268,77268,3
78660,78660,3
82451,82451,3
61244,61244,2
5390,5390,3
17024,17024,3
94980,94980,3
24789,24789,3
36810,36810,3
10743,10743,3
70119,70119,3
76908,76908,3
41998,41998,4
77003,77003,4
48039,48039,4
45958,45958,1
59299,59299,2
14646,14646,3
7832,7832,3
86303,86303,3
47105,47105,3
92972,92972,3
74618,74618,3
71221,71221,3
4177,4177,3
51072,51072,2
57258,57258,3
37553,37553,3
80373,80373,3
10616,10616,3
77508,77508,3
13175,13175,3
85251,85251,3
89999,89999,3
12221,12221,2
52916,52916,3
28494,28494,3
98032,98032,3
42600,42600,3
7087,7087,3
57557,57557,3
51096,51096,3
21673,21673,3
26532,26532,2
94488,94488,3
28311,28311,3
39474,39474,3
52158,52158,3
40468,40468,3
41429,41429,3
10706,10706,3
98376,98376,3
87377,87377,2
8866,8866,3
31205,31205,3
61254,61254,3
48034,48034,3
15256,15256,3
71167,71167,3
37861,37861,3
52223,52223,3
65651,65651,2
9953,9953,3
37283,37283,3
57357,57357,3
34655,34655,3
52881,52881,3
54331,54331,3
31454,31454,3
87666,87666,3
82399,82399,2
62070,62070,3
19869,19869,3
98939,98939,3
49680,49680,3
87590,87590,3
75863,75863,3
65108,65108,3
7420,7420,3
15015,15015,2
30824,30824,3
33510,33510,3
974,974,3
49481,49481,3
67523,67523,3
24674,24674,3
40210,40210,3
10204,10204,3
55524,55524,4
34483,34483,4
73711,73711,4
26035,26035,1
69295,69295,2
69834,69834,3
76107,76107,3
41789,41789,3
78024,78024,3
84120,84120,3
81833,81833,3
25401,25401,3
87297,87297,3
65963,65963,2
54415,54415,3
88228,88228,3
75347,75347,3
68970,68970,3
94532,94532,3
89946,89946,3
74855,74855,3
23522,23522,3
88933,88933,2
61360,61360,3
56444,56444,3
16684,16684,3
94540,94540,3
58754,58754,3
40629,40629,3
23880,23880,3
72673,72673,3
60455,60455,2
26699,26699,3
42339,42339,3
61227,61227,3
56875,56875,3
3619,3619,3
20314,20314,3
43447,43447,3
75528,75528,3
85229,85229,2
46268,46268,3
12710,12710,3
60283,60283,3
60918,60918,3
15684,15684,3
59378,59378,3
85318,85318,3
86326,86326,3
18810,18810,2
15208,15208,3
81481,81481,3
6335,6335,3
37977,37977,3
75981,75981,3
98205,98205,3
7888,7888,3
63999,63999,3
74448,74448,2
87373,87373,3
95042,95042,3
9057,9057,3
73504,73504,3
58873,58873,3
21644,21644,3
87032,87032,3
11131,11131,3
1136,1136,2
66258,66258,3
3343,3343,3
57677,57677,3
91077,91077,3
33588,33588,3
197,197,3
20440,20440,3
93699,93699,3
69184,69184,4
62915,62915,4
20118,20118,4
98857,98857,1
22004,22004,2
20284,20284,3
46125,46125,3
54675,54675,3
35908,35908,3
57957,57957,3
30313,30313,3
48440,48440,3
42877,42877,3
58493,58493,2
71560,71560,3
91375,91375,3
23422,23422,3
80335,80335,3
11138,11138,3
80463,80463,3
2572,2572,3
17435,17435,3
3167,3167,2
74144,74144,3
6408,6408,3
70784,70784,3
25236,25236,3
79486,79486,3
2738,2738,3
92683,92683,3
36643,36643,3
21718,21718,2
82781,82781,3
55263,55263,3
10170,10170,3
18337,18337,3
81820,81820,3
97420,97420,3
37173,37173,3
44713,44713,3
62438,62438,2
89264,89264,3
14318,14318,3
99935,99935,3
43420,43420,3
76024,76024,3
63966,63966,3
41388,41388,3
35532,35532,3
55492,55492,2
46324,46324,3
38076,38076,3
31621,31621,3
40782,40782,3
5660,5660,3
99641,99641,3
36762,36762,3
72869,72869,3
62,62,2
43978,43978,3
51454,51454,3
88095,88095,3
21623,21623,3
80301,80301,3
55478,55478,3
78426,78426,3
16648,16648,3
29256,29256,2
13873,13873,3
90492,90492,3
19023,19023,3
62353,62353,3
80741,80741,3
96813,96813,3
34025,34025,3
95973,95973,3
70476,70476,4
2660,2660,4
45348,45348,4
18834,18834,1
81163,81163,2
14667,14667,3
93400,93400,3
2662,2662,3
46976,46976,3
42442,42442,3
81214,81214,3
5326,5326,3
9884,9884,3
44355,44355,2
87807,87807,3
33060,33060,3
15962,15962,3
57985,57985,3
13058,13058,3
88441,88441,3
51969,51969,3
80598,80598,3
56019,56019,2
78849,78849,3
74504,74504,3
66833,66833,3
6052,6052,3
31757,31757,3
35537,35537,3
4089,4089,3
93694,93694,3
47999,47999,2
82081,82081,3
31778,31778,3
59355,59355,3
47014,47014,3
41563,41563,3
94513,94513,3
1541,1541,3
81427,81427,3
931,931,2
82296,82296,3
91416,91416,3
20068,20068,3
91412,91412,3
74402,74402,3
91678,91678,3
58857,58857,3
8539,8539,3
83757,83757,2
19224,19224,3
14784,14784,3
11253,11253,3
91367,91367,3
53918,53918,3
34658,34658,3
92610,92610,3
70247,70247,3
70793,70793,2
70627,70627,3
78494,78494,3
84316,84316,3
1042,1042,3
43056,43056,3
22465,22465,3
12213,12213,3
42266,42266,3
55289,55289,2
59546,59546,3
8585,8585,3
35272,35272,3
75324,75324,3
27626,27626,3
23736,23736,3
92573,92573,3
96998,96998,3
42075,42075,4
11673,11673,4
57543,57543,4
23221,23221,4
57526,57526,4
27199,27199,4
