X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
976011.72999954,172935.68000031,39.02000046,81.000000,-14.000000,1.000000,1.000000,1.000000,71381.018553,2138.000000
976003.67000008,172936.15000153,41.38999939,47.000000,5.000000,1.000000,1.000000,1.000000,60764.321898,1565.000000
976018.48999977,172943.02000046,39.61999893,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.342649,1680.000000
976013.11999989,172941.33000183,39.25999832,33.000000,-2.000000,1.000000,1.000000,1.000000,62228.067503,1712.000000
976012.57999992,172939.27000046,39.18999863,33.000000,-2.000000,1.000000,1.000000,1.000000,62228.059935,1686.000000
976007.92000008,172934.08000183,41.58000183,33.000000,-2.000000,1.000000,1.000000,1.000000,62228.089964,1679.000000
976017.25000000,172937.56000137,39.36000061,33.000000,-2.000000,1.000000,1.000000,1.000000,62227.969969,1792.000000
976019.37999916,172938.33000183,39.49000168,4.000000,21.000000,1.000000,1.000000,1.000000,65437.250975,1708.000000
976015.69999981,172939.11000061,39.36000061,4.000000,21.000000,1.000000,1.000000,1.000000,65437.236326,1627.000000
976013.64000034,172940.34999847,39.25000000,4.000000,21.000000,1.000000,1.000000,1.000000,65437.244139,1640.000000
976012.85000038,172944.27000046,39.36000061,36.000000,-23.000000,1.000000,1.000000,1.000000,61841.804197,1680.000000
976023.20000076,172936.72000122,39.68000031,33.000000,-2.000000,1.000000,1.000000,1.000000,62227.872435,1683.000000
976021.79999924,172935.63999939,39.50999832,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.477659,1716.000000
976014.52999973,172934.84000015,39.24000168,33.000000,-2.000000,1.000000,1.000000,1.000000,62227.984983,2356.000000
976006.01999998,172939.31000137,38.86999893,81.000000,-14.000000,1.000000,1.000000,1.000000,71380.921873,1870.000000
976009.28999996,172945.56000137,39.25999832,81.000000,-14.000000,1.000000,2.000000,2.000000,71380.928709,1589.000000
976007.38999987,172941.06000137,38.97999954,82.000000,27.000000,1.000000,1.000000,1.000000,71290.316404,1557.000000
976012.89000034,172938.40999985,39.18000031,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.455198,1731.000000
976014.18000031,172936.13000107,39.15999985,7.000000,20.000000,1.000000,1.000000,1.000000,65143.191404,1888.000000
976008.07999992,172935.33000183,39.70999908,4.000000,21.000000,1.000000,1.000000,1.000000,65437.183592,1420.000000
976010.60000038,172939.61999893,39.02000046,5.000000,-6.000000,1.000000,1.000000,1.000000,65362.069334,1673.000000
976012.93000031,172939.06999969,39.04999924,79.000000,25.000000,1.000000,1.000000,1.000000,71586.046873,1633.000000
976011.50000000,172933.43000031,41.72999954,46.000000,-18.000000,1.000000,1.000000,1.000000,60859.552732,1500.000000
976017.04999924,172942.65999985,39.49000168,4.000000,21.000000,1.000000,1.000000,1.000000,65437.273436,1641.000000
976005.26000023,172942.63000107,38.86999893,33.000000,-2.000000,1.000000,1.000000,1.000000,62228.217527,1765.000000
976013.59000015,172940.68999863,39.29000092,5.000000,-6.000000,1.000000,1.000000,1.000000,65362.046873,1662.000000
976024.37999916,172937.22999954,39.74000168,31.000000,-25.000000,1.000000,1.000000,1.000000,62483.223631,1561.000000
976005.82999992,172935.18999863,56.34999847,49.000000,-20.000000,1.000000,2.000000,1.000000,60564.593992,1440.000000
976023.59000015,172942.70000076,39.84000015,49.000000,-19.000000,1.000000,1.000000,1.000000,60564.676390,1638.000000
976008.19999981,172933.86999893,41.61999893,46.000000,-17.000000,1.000000,1.000000,1.000000,60859.560179,1484.000000
976008.81999969,172933.74000168,41.65999985,46.000000,-17.000000,1.000000,1.000000,1.000000,60859.560179,1496.000000
976015.30000019,172943.06000137,39.41999817,33.000000,-2.000000,1.000000,1.000000,1.000000,62228.052488,1667.000000
976000.30000001,172939.63999939,38.54999924,6.000000,-5.000000,1.000000,1.000000,1.000000,65223.478514,1961.000000
