X,Y,Z,PointSourceId,ScanAngleRank,ScanDirectionFlag,NumberOfReturns,ReturnNumber,GpsTime,Intensity
977783.09999847,171610.73999786,79.83999634,40.000000,-6.000000,1.000000,3.000000,3.000000,61443.280374,1416.000000
977780.40000153,171600.87000275,102.73000336,54.000000,-7.000000,1.000000,2.000000,1.000000,59974.489359,1543.000000
977772.48999786,171590.58999634,89.58999634,12.000000,30.000000,1.000000,5.000000,4.000000,64531.687601,959.000000
977777.31999969,171595.66000366,107.76000214,82.000000,17.000000,1.000000,3.000000,1.000000,71259.745218,885.000000
977763.34000015,171595.30999756,65.77999878,83.000000,-27.000000,1.000000,1.000000,1.000000,71136.459085,1599.000000
977777.25000000,171598.23999786,104.83000183,40.000000,-5.000000,1.000000,3.000000,2.000000,61443.174906,1425.000000
977775.30999756,171616.44999695,87.86000061,39.000000,-6.000000,1.000000,2.000000,2.000000,61557.968851,931.000000
977764.33999634,171584.23999786,88.40000153,39.000000,-7.000000,1.000000,2.000000,2.000000,61558.029398,949.000000
977771.45999908,171611.40000153,90.51999664,40.000000,-6.000000,1.000000,1.000000,1.000000,61443.129984,990.000000
977758.63000107,171617.63999939,81.44000244,80.000000,-10.000000,1.000000,1.000000,1.000000,71493.564554,777.000000
977765.62000275,171596.72000122,101.61000061,41.000000,21.000000,1.000000,2.000000,1.000000,61359.775492,1407.000000
977778.45999908,171592.69000244,99.36000061,40.000000,-5.000000,1.000000,2.000000,1.000000,61443.182718,1336.000000
977775.73000336,171589.97000122,90.76999664,16.000000,-21.000000,1.000000,2.000000,1.000000,64081.502542,1014.000000
977760.50000000,171610.05000305,88.06999969,82.000000,17.000000,1.000000,3.000000,3.000000,71260.240335,1071.000000
977761.63999939,171600.98999786,107.83999634,15.000000,10.000000,1.000000,1.000000,1.000000,64221.770609,1757.000000
977770.55999756,171586.43000031,95.33000183,13.000000,-19.000000,1.000000,2.000000,2.000000,64455.779398,1045.000000
977765.94999695,171596.19999695,79.51999664,38.000000,20.000000,1.000000,2.000000,1.000000,61645.341898,1597.000000
977759.65999985,171613.33999634,87.59999847,54.000000,-6.000000,1.000000,2.000000,1.000000,59974.383890,1593.000000
977766.41999817,171584.66000366,88.77999878,54.000000,-6.000000,1.000000,3.000000,2.000000,59974.706156,1509.000000
977766.58999634,171586.08000183,99.15000153,83.000000,-27.000000,1.000000,3.000000,1.000000,71136.556742,994.000000
977784.13999939,171613.70999908,98.45999908,54.000000,-7.000000,1.000000,5.000000,1.000000,59974.331156,87.000000
977776.33999634,171605.00000000,102.84999847,41.000000,21.000000,1.000000,5.000000,1.000000,61359.655374,522.000000
977771.18000031,171616.23999786,89.47000122,80.000000,-9.000000,1.000000,2.000000,2.000000,71493.399515,1165.000000
977764.52999878,171617.90000153,83.56999969,80.000000,-9.000000,1.000000,3.000000,2.000000,71493.489359,1087.000000
977760.41999817,171609.69000244,88.30999756,39.000000,-6.000000,1.000000,3.000000,3.000000,61558.157328,735.000000
977774.81999969,171584.08000183,98.98000336,38.000000,21.000000,1.000000,3.000000,1.000000,61645.431742,1040.000000
977773.97000122,171613.63999939,104.41999817,56.000000,-5.000000,1.000000,3.000000,1.000000,59702.508890,1775.000000
977754.90999985,171612.22000122,85.25000000,14.000000,4.000000,1.000000,1.000000,1.000000,64317.997660,1318.000000
977768.91999817,171607.26999664,103.44999695,12.000000,29.000000,1.000000,3.000000,2.000000,64531.844828,1382.000000
977760.34999847,171605.86000061,99.23000336,82.000000,17.000000,1.000000,4.000000,2.000000,71260.179788,1671.000000
977774.15000153,171581.98000336,88.47000122,83.000000,-27.000000,1.000000,3.000000,2.000000,71136.669046,1213.000000
977777.83000183,171617.98999786,80.94000244,41.000000,21.000000,1.000000,1.000000,1.000000,61359.677835,124.000000
